Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
16.25,6.85,7.6,0.2,0.6,3.95,75.9,300.5,59.93709124,C
17.5,7.05,7.95,0.3,0.85,4,112,496,98.65303383,D
15,6.85,8.05,0.3,0.85,30.65,90.9,2425.5,480.3107947,E
12.5,9.2,7.85,0.7,1.2,9,810.5,2371,469.6335288,E
12.5,9.05,7.9,1.25,1.25,13.9,188,2933.5,580.9214901,E
12,8.85,7.9,2.45,1.45,20.5,283,4049,801.6342945,E
13.5,9.3,7.8,0.65,1.35,22.5,831.5,516.5,102.8237964,E
22,8.2,8.4,,,,,191,38.28569366,B
22,8.2,8.4,,,,,188,37.69228166,B
21.5,7.8,7.95,,,,,116,23.42605138,A
16,8.5,8.1,0.2,,,,119,24.0383712,A
22,8.6,8.35,0.1,,23.5,170,399.5,79.54591713,D
20.5,9.3,8.1,0.1,,19,144.5,417,83.01634625,D
20.3,7.35,7.9,0.95,0.4,15,116,275.5,55.0377458,C
18,6.25,7.95,1.2,0.8,9,39,636,126.3571787,E
,7.25,7.95,1.25,1.5,13.3,85.9,336,67.06925159,C
9.5,8,7.65,0.15,0.65,10.9,93,146.5,29.49669305,B
10.5,7.8,7.55,0.2,0.6,19.4,108,168.5,33.84120006,B
12.25,8.4,7.6,0.2,14.05,3,82,669.5,134.2080506,E
12.5,8.35,7.75,0.2,0.65,4,78,126.5,25.56123736,B
22,9.2,8.6,0.2,,,,172,34.56915634,B
19,8.3,7.5,0.2,0.4,2,63,184,36.91885784,B
19,8.1,7.2,0.3,0.5,2,70,172,34.54506929,B
15,8.2,7.3,0.2,0.2,,,228,45.58561532,B
18,7.25,7.7,1.55,4.15,17,176,1850,366.8395198,E
18,6.5,7.7,3.1,4.45,177,1260,3010,596.3896947,E
14.5,7.55,8.35,0.5,2.3,12,175.5,1697,336.3772544,E
20.75,7,7.65,0.15,0.2,3,62.5,443.5,88.19995658,D
19,10.1,7.75,1,,33,70,125.5,25.40520717,B
20.5,9.5,7.9,1.1,,90,195,354,70.60694292,C
19.5,9.6,7.95,1,,38,75,138,27.87086279,B
19,9,7.55,1.5,,145,240,202,40.53860027,B
18,9.3,7.85,1.1,,65,140,71.5,14.71055181,A
,8.6,7.55,1.55,,,,157.5,31.65983243,B
21.25,9,7.25,1.85,0.575,960,2020,210.5,42.41116878,B
21,9.4,7.05,1.35,0.55,605,1520,209.5,42.14178893,B
22.5,8.7,7.2,1.95,0.47,195,360,221,44.35737685,B
23.5,8.75,7.3,1.7,0.435,300,580,227,45.55328488,B
21.5,8.95,7.35,1.75,0.515,600,1115,227,45.61101961,B
20.5,10.1,7.5,1.7,0.585,220,355,453.5,90.39352772,D
24.5,8.55,8,2.15,,850.9,2200,221,44.4463526,B
24,8.5,8.15,2.9,,2000,3950,275,55.33546186,C
24,8.1,8.2,3.5,,2500,4900,283,57.00956125,C
24,8.35,8.35,3.35,,2400,4550,276.5,55.71279293,C
24,8.05,8.25,3.25,,2550,4850,285.5,57.50092172,C
24,8.05,8.25,3.1,,2650,4050,284,57.21038522,C
24,7.7,8.25,3.55,,3250,5800,299.5,60.37917248,C
24,7,8,4.5,,26000,45500,332.5,70.40799449,C
24,7.6,8.1,4.1,,14650,30500,305.5,63.34466957,C
22,8.8,8.3,3.45,0.82,3050,3600,329.5,66.37649074,C
22,8.95,8.2,3.4,0.8,2900,3550,331,66.64852417,C
27.4,9.75,8,2.65,1.445,9150,16700,207.5,43.24397498,B
27.55,9.2,8.15,2.95,1.575,9300,19000,209,43.58312865,B
27.7,9.15,8.1,2.7,1.61,8150,17700,259.5,53.38861996,C
27.75,9.35,7.95,2.35,1.52,6250,14500,261,53.37336961,C
24.25,8.2,8.3,2.65,0.69,1050,2000,410,81.94219374,D
24.4,7.55,8.35,3.6,1.07,9000,17500,430,87.18002609,D
24.25,7.85,5.35,3.35,0.945,6500,11000,424,85.51040771,D
25.75,8.6,8.25,2.5,0.18,1100,2250,438,87.4489261,D
25.75,7.2,8.3,3.8,0.275,17000,30000,460,94.26292934,D
26.5,7.9,8.4,3.4,0.23,8000,12500,447,90.30943886,D
24,7.85,8.15,3.6,,3850,8800,310,62.55775108,C
26.25,7.15,8.4,3.8,0.285,14000,26000,461.5,94.10673489,D
26,8.5,8,2.1,0.195,14225,81150,381,78.3341139,D
26,3.35,7.65,37.5,4.85,27023,80175,5730,1140.014968,E
23,1.75,7.65,24,10.4,2775,4870,1000,200.4888404,E
23,2.2,7.55,26.5,6.5,760,3075,1179.5,235.4424219,E
23.5,3.05,8.05,19.2,5.45,460.5,1070,1035.5,206.5483019,E
28.5,6.5,7.85,11.5,2.2,46110,80800,1110.5,227.8689238,E
,8.6,7.3,1,0.2,5400,16000,429,86.20106093,D
